Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-01-23 03:10,a-l-sl,19405.5,191,74179625,-50634.1,-0.07,39145.45,0.05,-50624.55,-0.07,-50643.7,-0.51
1,Entry long,2024-01-22 22:40,AL,19418.75,191,74179625,-50634.1,-0.07,39145.45,0.05,-50624.55,-0.07,-50643.7,-0.51
2,Exit long,2024-01-23 03:10,a-l-sl,19405.5,192,74568000,-50899.2,-0.07,39350.4,0.05,-50889.6,-0.07,-101533.3,-1.02
2,Entry long,2024-01-22 22:40,AL,19418.75,192,74568000,-50899.2,-0.07,39350.4,0.05,-50889.6,-0.07,-101533.3,-1.02
3,Exit long,2024-01-24 00:35,a-l-tp1,19549,197,76960020,63020.3,0.08,63030.15,0.08,-12814.85,-0.02,-38522.9,-0.39
3,Entry long,2024-01-23 22:45,AL,19533,197,76960020,63020.3,0.08,63030.15,0.08,-12814.85,-0.02,-38522.9,-0.39
4,Exit long,2024-01-24 01:50,a-l-tp2,19564.75,198,77350680,125710.2,0.16,125720.1,0.16,-12879.9,-0.02,87197.2,0.87
4,Entry long,2024-01-23 22:45,AL,19533,198,77350680,125710.2,0.16,125720.1,0.16,-12879.9,-0.02,87197.2,0.87
5,Exit long,2024-01-24 11:10,n-l-sl,19640.25,65,25581725,-49406.5,-0.19,9421.75,0.04,-49403.25,-0.19,37787.4,0.38
5,Entry long,2024-01-24 10:50,NL,19678.25,65,25581725,-49406.5,-0.19,9421.75,0.04,-49403.25,-0.19,37787.4,0.38
6,Exit long,2024-01-24 11:10,n-l-sl,19640.25,66,25975290,-50166.6,-0.19,9566.7,0.04,-50163.3,-0.19,-12375.9,-0.12
6,Entry long,2024-01-24 10:50,NL,19678.25,66,25975290,-50166.6,-0.19,9566.7,0.04,-50163.3,-0.19,-12375.9,-0.12
7,Exit short,2024-01-24 21:40,a-s-tp1,19542.5,198,77451660,63340.2,0.08,63350.1,0.08,-4959.9,-0.01,50954.4,0.51
7,Entry short,2024-01-24 21:05,AS,19558.5,198,77451660,63340.2,0.08,63350.1,0.08,-4959.9,-0.01,50954.4,0.51
8,Exit short,2024-01-24 23:20,a-s-be,19557.5,198,77451660,3940.2,0.01,108890.1,0.14,-4959.9,-0.01,54904.5,0.55
8,Entry short,2024-01-24 21:05,AS,19558.5,198,77451660,3940.2,0.01,108890.1,0.14,-4959.9,-0.01,54904.5,0.55
9,Exit long,2024-01-25 12:05,n-l-sl,19639,66,25958790,-35316.6,-0.14,10556.7,0.04,-35313.3,-0.14,19584.6,0.20
9,Entry long,2024-01-25 11:55,NL,19665.75,66,25958790,-35316.6,-0.14,10556.7,0.04,-35313.3,-0.14,19584.6,0.20
10,Exit long,2024-01-25 12:05,n-l-sl,19639,66,25958790,-35316.6,-0.14,10556.7,0.04,-35313.3,-0.14,-15728.7,-0.16
10,Entry long,2024-01-25 11:55,NL,19665.75,66,25958790,-35316.6,-0.14,10556.7,0.04,-35313.3,-0.14,-15728.7,-0.16
11,Exit long,2024-01-26 12:05,n-l-tp1,19566.75,66,25766400,61703.4,0.24,61706.7,0.24,-1653.3,-0.01,45971.35,0.46
11,Entry long,2024-01-26 11:40,NL,19520,66,25766400,61703.4,0.24,61706.7,0.24,-1653.3,-0.01,45971.35,0.46
12,Exit long,2024-01-26 12:30,n-l-be,19521,67,26156800,1333.3,0.01,72021.65,0.28,-1678.35,-0.01,47308,0.47
12,Entry long,2024-01-26 11:40,NL,19520,67,26156800,1333.3,0.01,72021.65,0.28,-1678.35,-0.01,47308,0.47
13,Exit long,2024-01-28 22:00,a-l-tp1,19483.75,205,79820850,62504.5,0.08,62514.75,0.08,-11285.25,-0.01,109802.2,1.10
13,Entry long,2024-01-28 21:20,AL,19468.5,205,79820850,62504.5,0.08,62514.75,0.08,-11285.25,-0.01,109802.2,1.10
14,Exit long,2024-01-28 22:25,a-l-be,19469.5,206,80210220,4099.4,0.01,84449.7,0.11,-11340.3,-0.01,113911.9,1.14
14,Entry long,2024-01-28 21:20,AL,19468.5,206,80210220,4099.4,0.01,84449.7,0.11,-11340.3,-0.01,113911.9,1.14
15,Exit short,2024-01-30 12:20,n-s-tp1,19537.75,68,26633900,62553.2,0.23,62556.6,0.23,-17343.4,-0.07,176461.7,1.76
15,Entry short,2024-01-30 10:55,NS,19583.75,68,26633900,62553.2,0.23,62556.6,0.23,-17343.4,-0.07,176461.7,1.76
16,Exit short,2024-01-30 14:10,n-s-tp2,19492,68,26633900,124773.2,0.47,124776.6,0.47,-17343.4,-0.07,301238.3,3.01
16,Entry short,2024-01-30 10:55,NS,19583.75,68,26633900,124773.2,0.47,124776.6,0.47,-17343.4,-0.07,301238.3,3.01
17,Exit short,2024-01-31 02:00,a-s-tp1,19369,203,78701070,62909.7,0.08,62919.85,0.08,-49745.15,-0.06,364137.84,3.64
17,Entry short,2024-01-30 22:00,AS,19384.5,203,78701070,62909.7,0.08,62919.85,0.08,-49745.15,-0.06,364137.84,3.64
18,Exit short,2024-01-31 02:05,a-s-be,19383.5,203,78701070,4039.7,0.01,63934.85,0.08,-49745.15,-0.06,368187.7,3.68
18,Entry short,2024-01-30 22:00,AS,19384.5,203,78701070,4039.7,0.01,63934.85,0.08,-49745.15,-0.06,368187.7,3.68
19,Exit short,2024-01-31 11:20,n-s-sl,19291.25,67,25800695,-49586.7,-0.19,1671.65,0.01,-49583.35,-0.19,318597.6,3.19
19,Entry short,2024-01-31 11:00,NS,19254.25,67,25800695,-49586.7,-0.19,1671.65,0.01,-49583.35,-0.19,318597.6,3.19
20,Exit short,2024-01-31 11:20,n-s-sl,19291.25,68,26185780,-50326.8,-0.19,1696.6,0.01,-50323.4,-0.19,268274.2,2.68
20,Entry short,2024-01-31 11:00,NS,19254.25,68,26185780,-50326.8,-0.19,1696.6,0.01,-50323.4,-0.19,268274.2,2.68
21,Exit long,2024-02-01 10:50,n-l-sl,19257.75,67,25855300,-49921.7,-0.19,5691.65,0.02,-49918.35,-0.19,218349.16,2.18
21,Entry long,2024-02-01 10:40,NL,19295,67,25855300,-49921.7,-0.19,5691.65,0.02,-49918.35,-0.19,218349.16,2.18
22,Exit long,2024-02-01 10:50,n-l-sl,19257.75,67,25855300,-49921.7,-0.19,5691.65,0.02,-49918.35,-0.19,168430.8,1.68
22,Entry long,2024-02-01 10:40,NL,19295,67,25855300,-49921.7,-0.19,5691.65,0.02,-49918.35,-0.19,168430.8,1.68
23,Exit long,2024-02-01 21:15,a-l-sl,19553,194,75900560,-34939.4,-0.05,16480.3,0.02,-34929.7,-0.05,133481.66,1.33
23,Entry long,2024-02-01 20:40,AL,19562,194,75900560,-34939.4,-0.05,16480.3,0.02,-34929.7,-0.05,133481.66,1.33
24,Exit long,2024-02-01 21:15,a-l-sl,19553,195,76291800,-35119.5,-0.05,16565.25,0.02,-35109.75,-0.05,98371.9,0.98
24,Entry long,2024-02-01 20:40,AL,19562,195,76291800,-35119.5,-0.05,16565.25,0.02,-35109.75,-0.05,98371.9,0.98
25,Exit long,2024-02-02 11:25,n-l-tp1,19606,64,25033920,61753.6,0.25,61756.8,0.25,-12483.2,-0.05,160122.25,1.60
25,Entry long,2024-02-02 11:00,NL,19557.75,64,25033920,61753.6,0.25,61756.8,0.25,-12483.2,-0.05,160122.25,1.60
26,Exit long,2024-02-02 11:50,n-l-tp2,19654.25,65,25425075,125443.5,0.49,125446.75,0.49,-12678.25,-0.05,285569,2.86
26,Entry long,2024-02-02 11:00,NL,19557.75,65,25425075,125443.5,0.49,125446.75,0.49,-12678.25,-0.05,285569,2.86
27,Exit short,2024-02-05 13:10,n-s-sl,19663,63,24725925,-49461.3,-0.20,17636.85,0.07,-49458.15,-0.20,236104.5,2.36
27,Entry short,2024-02-05 12:10,NS,19623.75,63,24725925,-49461.3,-0.20,17636.85,0.07,-49458.15,-0.20,236104.5,2.36
28,Exit short,2024-02-05 13:10,n-s-sl,19663,64,25118400,-50246.4,-0.20,17916.8,0.07,-50243.2,-0.20,185861.3,1.86
28,Entry short,2024-02-05 12:10,NS,19623.75,64,25118400,-50246.4,-0.20,17916.8,0.07,-50243.2,-0.20,185861.3,1.86
29,Exit long,2024-02-06 00:00,a-l-tp1,19685.75,195,76712025,62380.5,0.08,62390.25,0.08,-5859.75,-0.01,248232,2.48
29,Entry long,2024-02-05 22:35,AL,19669.75,195,76712025,62380.5,0.08,62390.25,0.08,-5859.75,-0.01,248232,2.48
30,Exit long,2024-02-06 02:20,a-l-tp2,19701.75,196,77105420,125420.4,0.16,125430.2,0.16,-5889.8,-0.01,373662.2,3.74
30,Entry long,2024-02-05 22:35,AL,19669.75,196,77105420,125420.4,0.16,125430.2,0.16,-5889.8,-0.01,373662.2,3.74
31,Exit short,2024-02-06 10:25,n-s-tp1,19548.75,65,25475775,62393.5,0.24,62396.75,0.24,-4553.25,-0.02,436052.44,4.36
31,Entry short,2024-02-06 10:15,NS,19596.75,65,25475775,62393.5,0.24,62396.75,0.24,-4553.25,-0.02,436052.44,4.36
32,Exit short,2024-02-06 10:35,n-s-be,19595.75,65,25475775,1293.5,0.01,73771.75,0.29,-4553.25,-0.02,437349.2,4.37
32,Entry short,2024-02-06 10:15,NS,19596.75,65,25475775,1293.5,0.01,73771.75,0.29,-4553.25,-0.02,437349.2,4.37
33,Exit long,2024-02-07 11:55,n-l-tp1,19791.5,66,26062080,62693.4,0.24,62696.7,0.24,-3.3,0.00,500039.3,5.00
33,Entry long,2024-02-07 11:35,NL,19744,66,26062080,62693.4,0.24,62696.7,0.24,-3.3,0.00,500039.3,5.00
34,Exit long,2024-02-07 12:30,n-l-be,19745,66,26062080,1313.4,0.01,67976.7,0.26,-3.3,0.00,501356,5.01
34,Entry long,2024-02-07 11:35,NL,19744,66,26062080,1313.4,0.01,67976.7,0.26,-3.3,0.00,501356,5.01
35,Exit long,2024-02-08 02:10,a-l-tp1,19800.5,198,78340680,69280.2,0.09,69290.1,0.09,-4959.9,-0.01,570626.25,5.71
35,Entry long,2024-02-07 20:40,AL,19783,198,78340680,69280.2,0.09,69290.1,0.09,-4959.9,-0.01,570626.25,5.71
36,Exit long,2024-02-08 03:15,a-l-be,19784,199,78736340,3960.1,0.01,84565.05,0.11,-4984.95,-0.01,574596.3,5.75
