Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-01-23 03:10,a-l-sl,19405.5,95,36895625,-25184.5,-0.07,19470.25,0.05,-25179.75,-0.07,-25189.3,-0.50
1,Entry long,2024-01-22 22:40,AL,19418.75,95,36895625,-25184.5,-0.07,19470.25,0.05,-25179.75,-0.07,-25189.3,-0.50
2,Exit long,2024-01-23 03:10,a-l-sl,19405.5,96,37284000,-25449.6,-0.07,19675.2,0.05,-25444.8,-0.07,-50634.1,-1.01
2,Entry long,2024-01-22 22:40,AL,19418.75,96,37284000,-25449.6,-0.07,19675.2,0.05,-25444.8,-0.07,-50634.1,-1.01
3,Exit long,2024-01-24 00:35,a-l-tp1,19549,98,38284680,31350.2,0.08,31355.1,0.08,-6374.9,-0.02,-19288.85,-0.39
3,Entry long,2024-01-23 22:45,AL,19533,98,38284680,31350.2,0.08,31355.1,0.08,-6374.9,-0.02,-19288.85,-0.39
4,Exit long,2024-01-24 01:50,a-l-tp2,19564.75,99,38675340,62855.1,0.16,62860.05,0.16,-6439.95,-0.02,43571.2,0.87
4,Entry long,2024-01-23 22:45,AL,19533,99,38675340,62855.1,0.16,62860.05,0.16,-6439.95,-0.02,43571.2,0.87
5,Exit long,2024-01-24 11:10,n-l-sl,19640.25,32,12594080,-24323.2,-0.19,4638.4,0.04,-24321.6,-0.19,19246.35,0.38
5,Entry long,2024-01-24 10:50,NL,19678.25,32,12594080,-24323.2,-0.19,4638.4,0.04,-24321.6,-0.19,19246.35,0.38
6,Exit long,2024-01-24 11:10,n-l-sl,19640.25,33,12987645,-25083.3,-0.19,4783.35,0.04,-25081.65,-0.19,-5835.3,-0.12
6,Entry long,2024-01-24 10:50,NL,19678.25,33,12987645,-25083.3,-0.19,4783.35,0.04,-25081.65,-0.19,-5835.3,-0.12
7,Exit short,2024-01-24 21:40,a-s-tp1,19542.5,99,38725830,31670.1,0.08,31675.05,0.08,-2479.95,-0.01,25829.85,0.52
7,Entry short,2024-01-24 21:05,AS,19558.5,99,38725830,31670.1,0.08,31675.05,0.08,-2479.95,-0.01,25829.85,0.52
8,Exit short,2024-01-24 23:20,a-s-be,19557.5,99,38725830,1970.1,0.01,54445.05,0.14,-2479.95,-0.01,27804.9,0.56
8,Entry short,2024-01-24 21:05,AS,19558.5,99,38725830,1970.1,0.01,54445.05,0.14,-2479.95,-0.01,27804.9,0.56
9,Exit long,2024-01-25 12:05,n-l-sl,19639,33,12979395,-17658.3,-0.14,5278.35,0.04,-17656.65,-0.14,10144.95,0.20
9,Entry long,2024-01-25 11:55,NL,19665.75,33,12979395,-17658.3,-0.14,5278.35,0.04,-17656.65,-0.14,10144.95,0.20
10,Exit long,2024-01-25 12:05,n-l-sl,19639,33,12979395,-17658.3,-0.14,5278.35,0.04,-17656.65,-0.14,-7511.7,-0.15
10,Entry long,2024-01-25 11:55,NL,19665.75,33,12979395,-17658.3,-0.14,5278.35,0.04,-17656.65,-0.14,-7511.7,-0.15
11,Exit long,2024-01-26 12:05,n-l-tp1,19566.75,33,12883200,30851.7,0.24,30853.35,0.24,-826.65,-0.01,23338.35,0.47
11,Entry long,2024-01-26 11:40,NL,19520,33,12883200,30851.7,0.24,30853.35,0.24,-826.65,-0.01,23338.35,0.47
12,Exit long,2024-01-26 12:30,n-l-be,19521,33,12883200,656.7,0.01,35473.35,0.28,-826.65,-0.01,23996.7,0.48
12,Entry long,2024-01-26 11:40,NL,19520,33,12883200,656.7,0.01,35473.35,0.28,-826.65,-0.01,23996.7,0.48
13,Exit long,2024-01-28 22:00,a-l-tp1,19483.75,102,39715740,31099.8,0.08,31104.9,0.08,-5615.1,-0.01,55091.35,1.10
13,Entry long,2024-01-28 21:20,AL,19468.5,102,39715740,31099.8,0.08,31104.9,0.08,-5615.1,-0.01,55091.35,1.10
14,Exit long,2024-01-28 22:25,a-l-be,19469.5,103,40105110,2049.7,0.01,42224.85,0.11,-5670.15,-0.01,57146.2,1.14
14,Entry long,2024-01-28 21:20,AL,19468.5,103,40105110,2049.7,0.01,42224.85,0.11,-5670.15,-0.01,57146.2,1.14
